@relation ECGFeature106
@attribute RRinterval_current numeric
@attribute RRinterval_previous numeric
@attribute class {N,V}

@data
0.611,1.272,V
1.206,0.611,N
0.522,1.206,V
0.511,0.522,V
1.3,0.511,N
0.553,1.3,V
1.336,0.553,N
0.522,1.336,V
1.256,0.522,N
0.503,1.256,V
1.263,0.503,N
0.55,1.263,V
1.331,0.55,N
0.531,1.331,V
1.286,0.531,N
0.502,1.286,V
1.242,0.502,N
0.531,1.242,V
1.302,0.531,N
1.009,1.302,N
0.555,1.009,V
1.198,0.555,N
0.508,1.198,V
1.242,0.508,N
0.566,1.242,V
1.206,0.566,N
0.558,1.206,V
1.092,0.558,N
0.522,1.092,V
1.186,0.522,N
0.92,1.186,N
0.552,0.92,V
1.289,0.552,N
0.581,1.289,V
1.289,0.581,N
0.497,1.289,V
1.197,0.497,N
0.531,1.197,V
1.308,0.531,N
1.0,1.308,N
0.553,1.0,V
1.233,0.553,N
0.97,1.233,N
0.533,0.97,V
1.35,0.533,N
0.547,1.35,V
1.372,0.547,N
0.542,1.372,V
1.267,0.542,N
0.525,1.267,V
1.319,0.525,N
0.558,1.319,V
1.356,0.558,N
0.55,1.356,V
1.253,0.55,N
0.505,1.253,V
1.298,0.505,N
0.572,1.298,V
1.325,0.572,N
0.55,1.325,V
1.286,0.55,N
0.514,1.286,V
1.2,0.514,N
0.905,1.2,N
0.978,0.905,N
0.564,0.978,V
1.347,0.564,N
0.978,1.347,N
0.931,0.978,N
1.044,0.931,N
1.136,1.044,N
1.058,1.136,N
1.084,1.058,N
1.066,1.084,N
1.067,1.066,N
1.028,1.067,N
1.094,1.028,N
1.098,1.094,N
1.061,1.098,N
1.025,1.061,N
1.041,1.025,N
1.156,1.041,N
1.128,1.156,N
1.069,1.128,N
1.017,1.069,N
1.089,1.017,N
1.122,1.089,N
1.047,1.122,N
1.072,1.047,N
1.023,1.072,N
1.052,1.023,N
1.059,1.052,N
1.066,1.059,N
1.111,1.066,N
0.992,1.111,N
0.972,0.992,N
1.075,0.972,N
1.078,1.075,N
1.033,1.078,N
1.067,1.033,N
1.02,1.067,N
1.013,1.02,N
0.962,1.013,N
0.988,0.962,N
1.089,0.988,N
1.159,1.089,N
1.13,1.159,N
1.109,1.13,N
1.108,1.109,N
1.117,1.108,N
1.127,1.117,N
1.092,1.127,N
1.044,1.092,N
1.006,1.044,N
1.106,1.006,N
1.122,1.106,N
1.086,1.122,N
1.155,1.086,N
1.023,1.155,N
1.016,1.023,N
1.075,1.016,N
1.128,1.075,N
1.156,1.128,N
1.014,1.156,N
1.086,1.014,N
1.086,1.086,N
1.139,1.086,N
1.019,1.139,N
1.008,1.019,N
1.02,1.008,N
1.0,1.02,N
0.936,1.0,N
1.008,0.936,N
1.081,1.008,N
1.033,1.081,N
0.959,1.033,N
1.002,0.959,N
0.975,1.002,N
1.123,0.975,N
1.022,1.123,N
1.036,1.022,N
1.061,1.036,N
0.989,1.061,N
1.078,0.989,N
1.094,1.078,N
1.003,1.094,N
0.969,1.003,N
0.995,0.969,N
1.0,0.995,N
1.055,1.0,N
1.092,1.055,N
1.064,1.092,N
1.003,1.064,N
0.941,1.003,N
0.97,0.941,N
1.0,0.97,N
1.039,1.0,N
1.086,1.039,N
0.991,1.086,N
1.0,0.991,N
1.053,1.0,N
1.072,1.053,N
1.089,1.072,N
1.064,1.089,N
0.997,1.064,N
0.956,0.997,N
0.942,0.956,N
0.989,0.942,N
0.98,0.989,N
1.02,0.98,N
1.008,1.02,N
0.942,1.008,N
1.016,0.942,N
1.097,1.016,N
1.045,1.097,N
1.05,1.045,N
1.0,1.05,N
0.955,1.0,N
1.028,0.955,N
1.111,1.028,N
1.117,1.111,N
1.1,1.117,N
1.039,1.1,N
1.133,1.039,N
1.134,1.133,N
1.136,1.134,N
1.102,1.136,N
1.023,1.102,N
1.041,1.023,N
1.059,1.041,N
1.108,1.059,N
1.172,1.108,N
1.061,1.172,N
1.086,1.061,N
1.067,1.086,N
1.103,1.067,N
1.15,1.103,N
1.083,1.15,N
1.07,1.083,N
0.972,1.07,N
1.097,0.972,N
1.114,1.097,N
1.044,1.114,N
0.97,1.044,N
0.869,0.97,N
0.864,0.869,N
0.845,0.864,N
0.886,0.845,N
0.875,0.886,N
0.836,0.875,N
0.83,0.836,N
0.812,0.83,N
0.838,0.812,N
0.839,0.838,N
0.864,0.839,N
0.839,0.864,N
0.856,0.839,N
0.905,0.856,N
0.52,0.905,V
1.186,0.52,N
0.872,1.186,N
0.544,0.872,V
1.278,0.544,N
0.97,1.278,N
0.522,0.97,V
1.186,0.522,N
0.553,1.186,V
1.172,0.553,N
0.586,1.172,V
1.203,0.586,N
0.533,1.203,V
0.492,0.533,V
1.247,0.492,N
0.475,1.247,V
1.27,0.475,N
0.511,1.27,V
1.305,0.511,N
0.539,1.305,V
1.258,0.539,N
0.481,1.258,V
1.167,0.481,N
0.497,1.167,V
1.339,0.497,N
0.553,1.339,V
1.28,0.553,N
0.508,1.28,V
1.248,0.508,N
0.486,1.248,V
1.269,0.486,N
0.534,1.269,V
1.305,0.534,N
0.536,1.305,V
1.184,0.536,N
0.488,1.184,V
1.131,0.488,N
0.508,1.131,V
1.264,0.508,N
0.531,1.264,V
1.28,0.531,N
0.489,1.28,V
1.214,0.489,N
0.492,1.214,V
1.283,0.492,N
0.536,1.283,V
1.317,0.536,N
0.525,1.317,V
1.233,0.525,N
0.486,1.233,V
1.145,0.486,N
0.519,1.145,V
1.25,0.519,N
0.528,1.25,V
1.206,0.528,N
0.486,1.206,V
1.077,0.486,N
0.503,1.077,V
1.228,0.503,N
0.514,1.228,V
1.28,0.514,N
0.512,1.28,V
1.197,0.512,N
0.5,1.197,V
1.28,0.5,N
0.55,1.28,V
1.295,0.55,N
0.536,1.295,V
1.225,0.536,N
0.503,1.225,V
1.186,0.503,N
0.533,1.186,V
1.239,0.533,N
0.925,1.239,N
0.536,0.925,V
0.531,0.536,V
1.25,0.531,N
0.514,1.25,V
1.205,0.514,N
0.892,1.205,N
0.544,0.892,V
0.522,0.544,V
1.298,0.522,N
0.486,1.298,V
1.216,0.486,N
0.487,1.216,V
1.269,0.487,N
0.567,1.269,V
1.28,0.567,N
0.553,1.28,V
1.181,0.553,N
0.497,1.181,V
1.15,0.497,N
0.55,1.15,V
0.497,0.55,V
1.294,0.497,N
0.506,1.294,V
1.264,0.506,N
0.489,1.264,V
1.164,0.489,N
0.502,1.164,V
1.284,0.502,N
0.53,1.284,V
1.211,0.53,N
0.5,1.211,V
1.178,0.5,N
0.495,1.178,V
1.227,0.495,N
0.539,1.227,V
1.228,0.539,N
0.522,1.228,V
1.156,0.522,N
0.492,1.156,V
1.172,0.492,N
0.516,1.172,V
1.27,0.516,N
0.539,1.27,V
1.275,0.539,N
0.514,1.275,V
1.216,0.514,N
0.511,1.216,V
1.275,0.511,N
0.545,1.275,V
1.308,0.545,N
0.522,1.308,V
1.173,0.522,N
0.508,1.173,V
1.278,0.508,N
0.558,1.278,V
1.272,0.558,N
0.528,1.272,V
1.239,0.528,N
0.556,1.239,V
1.166,0.556,N
0.506,1.166,V
1.314,0.506,N
0.564,1.314,V
1.311,0.564,N
0.505,1.311,V
0.506,0.505,V
1.23,0.506,N
0.525,1.23,V
1.286,0.525,N
0.556,1.286,V
0.492,0.556,V
1.308,0.492,N
0.5,1.308,V
1.303,0.5,N
0.516,1.303,V
0.495,0.516,V
1.433,0.495,N
1.072,1.433,N
0.978,1.072,N
0.528,0.978,V
0.461,0.528,V
1.35,0.461,N
1.158,1.35,N
0.564,1.158,V
0.5,0.564,V
1.336,0.5,N
0.495,1.336,V
0.475,0.495,V
1.355,0.475,N
1.092,1.355,N
0.964,1.092,N
1.014,0.964,N
0.542,1.014,V
0.48,0.542,V
1.283,0.48,N
1.098,1.283,N
1.139,1.098,N
1.102,1.139,N
1.064,1.102,N
1.147,1.064,N
1.056,1.147,N
0.992,1.056,N
1.025,0.992,N
1.116,1.025,N
1.006,1.116,N
1.08,1.006,N
1.17,1.08,N
1.136,1.17,N
1.15,1.136,N
1.161,1.15,N
1.183,1.161,N
1.245,1.183,N
1.203,1.245,N
1.222,1.203,N
1.111,1.222,N
1.111,1.111,N
1.061,1.111,N
1.156,1.061,N
1.241,1.156,N
1.181,1.241,N
0.958,1.181,N
0.984,0.958,N
1.047,0.984,N
0.967,1.047,N
0.944,0.967,N
0.592,0.944,V
0.502,0.592,V
1.245,0.502,N
0.961,1.245,N
0.989,0.961,N
0.964,0.989,N
0.578,0.964,V
0.519,0.578,V
1.35,0.519,N
1.1,1.35,N
1.125,1.1,N
0.581,1.125,V
0.533,0.581,V
1.422,0.533,N
1.128,1.422,N
0.533,1.128,V
0.484,0.533,V
1.447,0.484,N
1.219,1.447,N
0.564,1.219,V
0.511,0.564,V
1.381,0.511,N
1.214,1.381,N
0.533,1.214,V
0.536,0.533,V
1.503,0.536,N
0.53,1.503,V
0.5,0.53,V
1.362,0.5,N
1.119,1.362,N
0.542,1.119,V
0.5,0.542,V
1.472,0.5,N
1.183,1.472,N
0.525,1.183,V
0.475,0.525,V
1.392,0.475,N
1.203,1.392,N
0.566,1.203,V
0.509,0.566,V
1.436,0.509,N
1.155,1.436,N
0.525,1.155,V
0.467,0.525,V
1.453,0.467,N
1.275,1.453,N
0.541,1.275,V
0.503,0.541,V
1.37,0.503,N
0.527,1.37,V
0.481,0.527,V
1.456,0.481,N
1.283,1.456,N
0.544,1.283,V
0.503,0.544,V
1.356,0.503,N
0.491,1.356,V
0.478,0.491,V
1.5,0.478,N
1.195,1.5,N
0.552,1.195,V
0.478,0.552,V
1.372,0.478,N
1.145,1.372,N
0.558,1.145,V
0.52,0.558,V
1.472,0.52,N
1.1,1.472,N
0.525,1.1,V
0.475,0.525,V
1.355,0.475,N
1.178,1.355,N
0.564,1.178,V
0.514,0.564,V
1.372,0.514,N
1.061,1.372,N
0.528,1.061,V
0.497,0.528,V
1.378,0.497,N
1.206,1.378,N
0.547,1.206,V
0.53,0.547,V
1.311,0.53,N
0.517,1.311,V
0.483,0.517,V
1.389,0.483,N
0.525,1.389,V
0.52,0.525,V
1.33,0.52,N
0.52,1.33,V
1.178,0.52,N
0.53,1.178,V
0.478,0.53,V
1.336,0.478,N
0.533,1.336,V
0.481,0.533,V
1.278,0.481,N
0.494,1.278,V
1.289,0.494,N
0.533,1.289,V
0.575,0.533,V
1.353,0.575,N
0.522,1.353,V
1.295,0.522,N
0.947,1.295,N
0.508,0.947,V
1.292,0.508,N
1.022,1.292,N
0.564,1.022,V
1.336,0.564,N
0.981,1.336,N
0.516,0.981,V
0.503,0.516,V
1.434,0.503,N
1.191,1.434,N
0.55,1.191,V
1.35,0.55,N
0.547,1.35,V
0.509,0.547,V
1.419,0.509,N
1.184,1.419,N
0.569,1.184,V
0.536,0.569,V
1.389,0.536,N
1.031,1.389,N
0.538,1.031,V
0.509,0.538,V
1.497,0.509,N
1.147,1.497,N
1.028,1.147,N
0.542,1.028,V
0.511,0.542,V
1.389,0.511,N
1.133,1.389,N
0.575,1.133,V
0.506,0.575,V
1.377,0.506,N
0.981,1.377,N
0.525,0.981,V
1.272,0.525,N
0.614,1.272,V
1.214,0.614,N
0.855,1.214,N
0.931,0.855,N
0.864,0.931,N
0.561,0.864,V
0.492,0.561,V
1.347,0.492,N
0.567,1.347,V
1.166,0.567,N
0.8,1.166,N
0.764,0.8,N
0.808,0.764,N
0.798,0.808,N
0.861,0.798,N
0.572,0.861,V
0.489,0.572,V
1.253,0.489,N
0.511,1.253,V
1.103,0.511,N
0.897,1.103,N
0.569,0.897,V
0.514,0.569,V
1.211,0.514,N
0.542,1.211,V
1.047,0.542,N
0.5,1.047,V
0.458,0.5,V
1.173,0.458,N
0.527,1.173,V
1.156,0.527,N
0.536,1.156,V
1.072,0.536,N
0.503,1.072,V
1.086,0.503,N
0.497,1.086,V
1.206,0.497,N
0.55,1.206,V
1.208,0.55,N
0.525,1.208,V
1.156,0.525,N
0.497,1.156,V
1.122,0.497,N
0.542,1.122,V
1.236,0.542,N
0.528,1.236,V
1.133,0.528,N
0.517,1.133,V
0.492,0.517,V
1.194,0.492,N
0.514,1.194,V
1.197,0.514,N
0.858,1.197,N
0.528,0.858,V
0.506,0.528,V
1.141,0.506,N
0.478,1.141,V
1.103,0.478,N
0.522,1.103,V
1.12,0.522,N
0.558,1.12,V
1.053,0.558,N
0.758,1.053,N
0.52,0.758,V
0.466,0.52,V
1.164,0.466,N
0.558,1.164,V
1.148,0.558,N
0.541,1.148,V
0.503,0.541,V
1.22,0.503,N
0.83,1.22,N
0.856,0.83,N
0.964,0.856,N
0.577,0.964,V
1.353,0.577,N
0.992,1.353,N
0.961,0.992,N
0.539,0.961,V
0.494,0.539,V
1.253,0.494,N
